["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["entertain","1. To be at the charges of; to take or keep in one's service; to maintain; to support; to harbor; to keep. You, sir, I entertain for one of my hundred. Shak. 2. To give hospitable reception and maintenance to; to receive at one's board, or into one's house; to receive as a guest. Be not forgetful to entertain strangers; for thereby some have entertained unawares. Heb. xiii. 2. 3. To engage the attention of agreeably; to amuse with that which makes the time pass pleasantly; to divert; as, to entertain friends with conversation, etc. The weary time she can not entertain. Shak. 4. To give reception to; to receive, in general; to receive and take into consideration; to admit, treat, or make use of; as, to entertain a proposal. I am not here going to entertain so large a theme as the philosophy of Locke. De Quincey. A rumor gained ground, -- and, however absurd, was entertained by some very sensible people. Hawthorne. 5. To meet or encounter, as an enemy. [Obs.] Shak. 6. To keep, hold, or maintain in the mind with favor; to keep in the mind; to harbor; to cherish; as, to entertain sentiments. 7. To lead on; to bring along; to introduce. [Obs.] To baptize all nations, and entertain them into the services institutions of the holy Jesus. Jer. Taylor. Syn. -- To amuse; divert; maintain. See Amuse.\n\nTo receive, or provide entertainment for, guests; as, he entertains generously.\n\nEntertainment. [Obs.] Spenser."]
["scutiform","Shield-shaped; scutate."]
["sublimeness","The quality or state of being sublime; sublimity."]
["hastated","Shaped like the head of a halberd; triangular, with the basal angles or lobes spreading; as, a hastate leaf."]
["unbenign","Not benign; malignant."]
["overstraitly","Too straitly or strictly. [Obs.] Sir W. Raleigh."]
["scirrhous","Proceeding from scirrhus; of the nature of scirrhus; indurated; knotty; as, scirrhous affections; scirrhous disease. [Written also skirrhous.]"]
["samarra","See Simar."]
["franc","A silver coin of France, and since 1795 the unit of the French monetary system. It has been adopted by Belgium and Swizerland. It is equivalent to about nineteen cents, or ten pence, and is divided into 100 centimes."]
["carve","1. To cut. [Obs.] Or they will carven the shepherd's throat. Spenser. 2. To cut, as wood, stone, or other material, in an artistic or decorative manner; to sculpture; to engrave. Carved with figures strange and sweet. Coleridge. 3. To make or shape by cutting, sculpturing, or engraving; to form; as, to carve a name on a tree. An angel carved in stone. Tennyson. We carved not a line, and we raised not a stone. C. Wolfe. 4. To cut into small pieces or slices, as meat at table; to divide for distribution or apportionment; to apportion. \"To carve a capon.\" Shak. 5. To cut: to hew; to mark as if by cutting. My good blade carved the casques of men. Tennyson. A million wrinkles carved his skin. Tennyson. 6. To take or make, as by cutting; to provide. Who could easily have carved themselves their own food. South. 7. To lay out; to contrive; to design; to plan. Lie ten nights awake carving the fashion of a new doublet. Shak. To carve out, to make or get by cutting, or as if by cutting; to cut out. \"[Macbeth] with his brandished steel . . . carved out his passage.\" Shak. Fortunes were carved out of the property of the crown. Macaulay.\n\n1. To exercise the trade of a sculptor or carver; to engrave or cut figures. 2. To cut up meat; as, to carve for all the guests.\n\nA carucate. [Obs.] Burrill."]
["workfellow","One engaged in the same work with another; a companion in work."]
["worldliness","The quality of being worldly; a predominant passion for obtaining the good things of this life; covetousness; addictedness to gain and temporal enjoyments; worldly-mindedness."]
["disciplinant","A flagellant. See Flagellant."]
["cadi","An inferior magistrate or judge among the Mohammedans, usually the judge of a town or village."]
["shipworm","Any long, slender, worm-shaped bivalve mollusk of Teredo and allied genera. The shipworms burrow in wood, and are destructive to wooden ships, piles of wharves, etc. See Teredo."]
["smerlin","A small loach."]
["opelet","A bright-colored European actinian (Anemonia, or Anthea, sulcata); -- so called because it does not retract its tentacles."]
["starfish","1. (Zoöl.)  Any one of numerous species of echinoderms belonging to the class Asterioidea, in which the body is star-shaped and usually has five rays, though the number of rays varies from five to forty or more. The rays are often long, but are sometimes so short as to appear only as angles to the disklike body. Called also sea star, five-finger, and stellerid. Note: The ophiuroids are also sometimes called starfishes. See Brittle star, and Ophiuroidea. 2. (Zoöl.)  The dollar fish, or butterfish."]
["fetterless","Free from fetters. Marston."]
["catalysis","1. Dissolution; degeneration; decay. [R.] Sad catalysis and declension of piety. Evelyn. 2. (Chem.) (a) A process by which reaction occurs in the presence of certain agents which were formerly believed to exert an influence by mere contact. It is now believed that such reactions are attended with the formation of an intermediate compound or compounds, so that by alternate composition and decomposition the agent is apparenty left unchanged; as, the catalysis of making ether from alcohol by means of sulphuric acid; or catalysis in the action of soluble ferments (as diastase, or ptyalin) on starch. (b) The catalytic force."]
["camorra","A secret organization formed at Naples, Italy, early in the 19th century, and used partly for political ends and partly for practicing extortion, violence, etc. -- Ca*mor\"rist (#), n."]
["unassented","Not assented; -- said specif. of stocks or bonds the holders of which refuse to deposit them by way of assent to an agreement altering their status, as in a readjustment."]
["tawpie","A foolish or thoughtless young person, esp. a slothful or slovenly woman. [Scot.]  Burns."]
["prevalency","See Prevalence."]
["diner-out","One who often takes his dinner away from home, or in company. A brilliant diner-out, though but a curate. Byron."]
["lok","The evil deity, the author of all calamities and mischief, answering to the African of the Persians."]
["unbone","1. To deprive of bones, as meat; to bone. 2. To twist about, as if boneless. [R.] Milton."]
["figpecker","The European garden warbler (Sylvia, or Currica, hortensis); -- called also beccafico and greater pettychaps."]
["eurus","The east wind."]
["excandescent","White or glowing with heat. [R.] Ure."]
["electroscope","An instrument for detecting the presence of electricity, or changes in the electric state of bodies, or the species of electricity present, as by means of pith balls, and the like. Condensing electroscope (Physics), a form of electroscope in which an increase of sensibility is obtained by the use of a condenser."]
["newly","1. Lately; recently. He rubbed it o'er with newly gathered mint. Dryden. 2. Anew; afresh; freshly. And the refined mind doth newly fashion Into a fairer form. Spenser."]
["muddler","One who, or that which, muddles."]
["antemundane","Being or occurring before the creation of the world. Young."]
["outspring","To spring out; to issue."]
["lilacin","See Syringin."]
["carrancha","The Brazilian kite (Polyborus Brasiliensis); -- so called in imitation of its notes."]
["-ible","An adjective suffix now usually in a passive sense; able to be; fit to be; expressing capacity or worthiness in a passive sense; as, movable, able to be moved; amendable, able to be amended; blamable, fit to be blamed; salable. Note: The form ible is used in the same sense. Note: It is difficult to say when we are not to use -able instead of -ible. \"Yet a rule may be laid down as to when we are to use it. To all verbs, then, from the Anglo-Saxon, to all based on the uncorrupted infinitival stems of Latin verbs of the first conjugation, and to all substantives, whencesoever sprung, we annex - able only.\" Fitzed. Hall.\n\n. See -able."]
["incommunicated","Not communicated or imparted. [Obs.] Dr. H. More."]
["pointal","1. (Bot.)  The pistil of a plant. 2. A kind of pencil or style used with the tablets of the Middle Ages. \"A pair of tablets [i. e., tablets] . . . and a pointel.\" Chaucer. 3. (Arch.)  See Poyntel. [Obs. or R.]"]
["infabricated","Not fabricated; unwrought; not artificial; natural. [Obs.]"]
["disseizor","One who wrongfully disseizes, or puts another out of possession of a freehold. [Written also disseisor.] Blackstone."]
["retrenchment","1. The act or process of retrenching; as, the retrenchment of words in a writing. The retrenchment of my expenses will convince you that Walpole. 2. (Fort.)  A work constructed within another, to prolong the defense of the position when the enemy has gained possession of the outer work; or to protect the defenders till they can retreat or obtain terms for a capitulation. Syn. -- Lessening; curtailment; diminution; reduction; abridgment."]
["babbler","1. An idle talker; an irrational prater; a teller of secrets. Great babblers, or talkers, are not fit for trust. L'Estrange. 2. A hound too noisy on finding a good scent. 3. (Zoöl.)  A name given to any one of family (Timalinæ) of thrushlike birds, having a chattering note."]
["originate","To give an origin or beginning to; to cause to be; to bring into existence; to produce as new. A decomposition of the whole civill and political mass, for the purpose of originating a new civil order. Burke.\n\nTo take first existence; to have origin or beginning; to begin to exist or act; as, the scheme originated with the governor and council."]
["footway","A passage for pedestrians only."]
["siller","Silver. [Scot.]"]
["gemmiparous","Producing buds; reproducing by buds. See Gemmation, 1."]
["parthenope","1. (Gr. Myth.)  One of the Sirens, who threw herself into the sea, in despair at not being able to beguile Ulysses by her songs. 2. One of the asteroids between Mars and Jupiter, descovered by M. de Gasparis in 1850."]
["cutose","A variety of cellulose, occuring as a fine transparent membrane covering the aerial organs of plants, and forming an essential ingredient of cork; by oxidation it passes to suberic acid."]
["sideration","The state of being siderated, or planet-struck; esp., blast in plants; also, a sudden and apparently causeless stroke of disease, as in apoplexy or paralysis. [Obs.] Ray."]
["vane","1. A contrivance attached to some elevated object for the purpose of showing which way the wind blows; a weathercock. It is usually a plate or strip of metal, or slip of wood, often cut into some fanciful form, and placed upon a perpendicular axis around which it moves freely. Aye undiscreet, and changing as a vane. Chaucer. 2. Any flat, extended surface attached to an axis and moved by the wind; as, the vane of a windmill; hence, a similar fixture of any form moved in or by water, air, or other fluid; as, the vane of a screw propeller, a fan blower, an anemometer, etc. 3. (Zoöl.)  The rhachis and web of a feather taken together. 4. One of the sights of a compass, quadrant, etc. Vane of a leveling staff. (Surv.) Same as Target, 3."]
